,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
0,shchuchye,0,AU,1554615373,33,-33.21,138.6,73.59,18.7
1,shchuchye,1,US,1554615167,87,36.19,-94.13,60.8,6.93
2,shchuchye,36,ZA,1554615110,90,-34.42,19.24,62.01,5.99
3,shchuchye,0,na,0,0,0,0,0,0
4,shchuchye,92,MX,1554615219,76,17.67,-96.13,68.19,1.81
5,shchuchye,0,AR,1554615642,84,-27.8,-64.26,51.09,2.93
6,shchuchye,0,na,0,0,0,0,0,0
7,shchuchye,0,AU,1554615075,31,-33.64,115.35,73.99,7.96
8,shchuchye,90,CA,1554615060,67,62.45,-114.38,19.4,14.99
9,shchuchye,0,na,0,0,0,0,0,0
10,shchuchye,0,AU,1554615076,37,-42.88,147.33,69.8,18.34
11,shchuchye,0,RU,1554613200,74,53.34,58.51,37.4,4.47
12,shchuchye,12,MV,1554615317,100,-0.6,73.08,84.66,5.61
13,shchuchye,40,CL,1554613358,75,-53.16,-70.91,42.8,34.45
14,shchuchye,0,CN,1554615222,62,32.07,116.17,84.39,3.71
15,shchuchye,0,na,0,0,0,0,0,0
16,shchuchye,1,US,1554615212,69,22.08,-159.32,77,11.41
17,shchuchye,8,GL,1554615222,73,72.79,-56.15,30.39,14.9
18,shchuchye,90,CL,1554613200,100,-29.95,-71.34,57.2,2.24
19,shchuchye,20,CY,1554613200,87,34.92,32.53,62.6,4.7
20,shchuchye,92,BR,1554615220,94,-3.69,-40.35,69.63,3.04
21,shchuchye,90,US,1554615576,93,37.46,-122.43,60.8,6.93
22,shchuchye,76,PF,1554615378,100,-23.12,-134.97,77.91,13.67
23,shchuchye,88,KI,1554615224,100,3.07,172.79,79.17,6.85
24,shchuchye,64,GL,1554612600,75,60.91,-46.05,32,3.38
25,shchuchye,20,JP,1554615300,40,33.93,134.5,72,11.41
26,shchuchye,40,IN,1554613200,54,22.96,86.05,84.2,3.36
27,shchuchye,0,EG,1554609600,34,24.09,32.9,69.8,3.36
28,shchuchye,40,PT,1554613200,82,33.08,-16.33,60.8,12.75
29,shchuchye,0,na,0,0,0,0,0,0
30,shchuchye,0,NZ,1554615008,72,-46.19,168.86,55.99,4
31,shchuchye,20,TH,1554613200,59,6.87,101.37,91.4,9.17
32,shchuchye,68,CA,1554613860,84,70.47,-68.59,6.8,24.16
33,shchuchye,0,na,0,0,0,0,0,0
34,shchuchye,76,PH,1554615226,100,5.7,120.82,82.68,9.86
35,shchuchye,90,CA,1554615353,93,45.36,-73.48,39.99,5.82
36,shchuchye,40,US,1554615208,84,42.65,-73.75,39.99,2.59
37,shchuchye,0,na,0,0,0,0,0,0
38,shchuchye,0,na,0,0,0,0,0,0
39,shchuchye,20,LK,1554610200,70,6.12,81.12,89.6,4.7
40,shchuchye,75,CA,1554613200,52,55.74,-97.86,15.8,8.05
41,shchuchye,48,ZA,1554615382,92,-30.97,22.13,54.15,12.66
42,shchuchye,0,AU,1554613204,65,-30.3,153.13,86,18.34
43,shchuchye,90,US,1554614880,87,55.34,-131.65,44.6,16.11
44,shchuchye,68,US,1554615093,32,32,-102.08,66.2,3.36
45,shchuchye,76,RU,1554615229,100,73.51,80.55,17.16,2.37
46,shchuchye,75,AR,1554613200,51,-54.81,-68.31,37.4,21.92
47,shchuchye,0,na,0,0,0,0,0,0
48,shchuchye,40,AU,1554613200,31,-20.73,139.49,89.6,10.29
49,shchuchye,92,GL,1554612600,54,65.61,-37.64,30.2,36.91
50,shchuchye,20,AR,1554615218,42,-46.43,-67.52,55.86,13.44
51,shchuchye,5,MX,1554615309,68,22.89,-109.91,70,2.24
52,shchuchye,0,na,0,0,0,0,0,0
53,shchuchye,0,EC,1554610574,94,-0.74,-90.35,77,6.17
54,shchuchye,0,MG,1554615231,58,-24.69,44.75,81.87,7.18
55,shchuchye,32,BR,1554615385,94,-21.64,-41.05,81.87,21.83
56,shchuchye,64,PF,1554615385,97,-9.8,-139.03,83.04,13.44
57,shchuchye,40,IR,1554613200,71,36.67,48.48,51.8,4.7
58,shchuchye,75,US,1554615201,69,19.71,-155.08,75.2,3.36
59,shchuchye,64,ZA,1554615063,88,-34.53,20.04,62.6,1.12
60,shchuchye,0,ZA,1554615191,82,-33.93,18.42,62.01,11.41
61,shchuchye,0,RU,1554615386,100,64.42,-173.23,18.24,13
62,shchuchye,12,NE,1554615233,35,14.97,8.88,74.76,5.17
63,shchuchye,90,CA,1554615203,87,47.66,-52.73,34,11.41
64,shchuchye,76,RU,1554615387,97,69.49,88.39,16.89,10.2
